Country,Early 2022
Ukraine,"19,715,524"
United States,"8,935,563"
Russia,"7,955,586"
India,"6,824,931"
United Kingdom,"5,141,834"
Japan,"3,786,120"
China,"3,721,200"
Canada,"3,528,231"
Australia,"3,455,973"
Belarus,"3,336,989"
Turkey,"3,255,186"
Germany,"3,169,424"
Taiwan,"3,001,494"
Pakistan,"2,873,613"
Philippines,"2,784,897"
Singapore,"2,776,189"
France,"2,760,630"
Moldova,"2,713,419"
Kazakhstan,"2,687,438"
Georgia,"2,579,423"
Poland,"2,499,046"
Afghanistan,"2,450,188"
The Netherlands,"2,383,149"
Israel,"2,273,862"
United Arab Emirates,"2,273,794"
Sri Lanka,"2,247,715"
Serbia,"2,227,310"
Finland,"2,207,958"
Italy,"2,183,281"
South Africa,"2,169,064"
Indonesia,"2,137,552"
South Korea,"2,102,431"
Switzerland,"2,100,222"
Czech Republic,"2,072,588"
Spain,"2,071,520"
New Zealand,"2,016,463"
Bangladesh,"2,002,284"
Cyprus,"1,972,745"
Sweden,"1,904,030"
Mexico,"1,845,004"
Iran,"1,816,778"
Saudi Arabia,"1,801,145"
Romania,"1,799,509"
Brazil,"1,774,337"
Nigeria,"1,698,091"
Lithuania,"1,697,845"
Azerbaijan,"1,681,345"
Norway,"1,655,534"
Greenland,"1,633,000"
Monaco,"1,627,623"
Malaysia,"1,609,370"
Croatia,"1,605,853"
Malta,"1,600,083"
Kosovo,"1,593,468"
Tonga,"1,592,157"
Maldives,"1,588,126"
Egypt,"1,560,389"
Denmark,"1,551,115"
Vietnam,"1,538,050"
North Korea,"1,537,757"
Estonia,"1,529,632"
Hungary,"1,518,171"
Albania,"1,490,018"
Belgium,"1,455,391"
Thailand,"1,451,303"
Mauritius,"1,446,494"
Austria,"1,439,611"
Morocco,"1,435,673"
Nepal,"1,414,951"
Armenia,"1,405,886"
Greece,"1,403,362"
North Macedonia,"1,400,737"
Argentina,"1,388,994"
Portugal,"1,382,678"
Myanmar,"1,378,022"
Qatar,"1,367,708"
Bosnia and Herzegovina,"1,364,611"
Iceland,"1,350,478"
Montenegro,"1,302,282"
Puerto Rico,"1,280,524"
Colombia,"1,262,931"
Bulgaria,"1,258,532"
Latvia,"1,249,416"
Republic of Ireland,"1,233,481"
Lebanon,"1,167,019"
Slovenia,"1,163,354"
Uzbekistan,"1,159,542"
Mongolia,"1,154,944"
Democratic Republic of the Congo,"1,147,674"
Slovakia,"1,144,568"
Eritrea,"1,143,625"
Ethiopia,"1,137,526"
Cuba,"1,134,130"
Luxembourg,"1,117,309"
Syria,"1,108,225"
Kyrgyzstan,"1,106,983"
Bahrain,"1,087,635"
Iraq,"1,067,673"
Rwanda,"1,031,631"
Cambodia,"1,017,690"
Ghana,"1,015,566"
Jamaica,"1,005,727"
Venezuela,"1,004,813"
Jordan,"999,185"
Turkmenistan,"988,933"
Algeria,"984,236"
State of Palestine,"971,204"
Liechtenstein,"966,668"
Dominican Republic,"963,921"
Burkina Faso,"962,594"
Seychelles,"955,885"
Guyana,"949,729"
Yemen,"945,630"
Cape Verde,"934,557"
Tanzania,"910,135"
Madagascar,"908,593"
Chile,"893,433"
Bhutan,"886,882"
Senegal,"885,953"
El Salvador,"885,258"
Suriname,"881,515"
Andorra,"869,216"
Kenya,"867,313"
Belize,"864,524"
Vatican City,"842,998"
Tunisia,"832,410"
Kuwait,"831,986"
The Bahamas,"823,332"
Oman,"813,677"
Somalia,"810,787"
Libya,"804,492"
Zimbabwe,"803,478"
Barbados,"802,209"
Fiji,"799,829"
Falkland Islands,"793,002"
Peru,"786,802"
Liberia,"782,057"
Costa Rica,"762,229"
Eswatini,"749,334"
Brunei,"746,590"
Cameroon,"746,568"
Papua New Guinea,"746,213"
Tajikistan,"733,074"
Mauritania,"725,146"
Haiti,"707,167"
Uganda,"706,863"
Mali,"704,613"
Laos,"701,594"
Sudan,"691,668"
Namibia,"690,675"
San Marino,"687,754"
Solomon Islands,"679,494"
Trinidad and Tobago,"677,051"
East Timor,"668,041"
Uruguay,"665,674"
Bolivia,"649,932"
Angola,"644,715"
Ivory Coast,"613,892"
Ecuador,"612,181"
Kiribati,"607,602"
Comoros,"599,058"
Guatemala,"592,582"
Grenada,"588,499"
Botswana,"583,093"
Niger,"572,194"
Nicaragua,"571,045"
Burundi,"570,532"
French Guiana,"559,511"
Chad,"558,326"
Panama,"555,328"
Equatorial Guinea,"554,017"
Sierra Leone,"550,979"
Central African Republic,"549,546"
Mozambique,"543,809"
The Gambia,"535,486"
South Sudan,"529,601"
Honduras,"524,174"
Nauru,"510,764"
New Caledonia,"510,614"
Djibouti,"504,069"
Zambia,"494,713"
Palau,"480,982"
Benin,"480,241"
Lesotho,"475,844"
Samoa,"470,884"
Gabon,"465,937"
Saint Lucia,"453,226"
Guinea,"436,790"
Paraguay,"431,196"
Vanuatu,"430,159"
Saint Kitts and Nevis,"407,928"
Malawi,"394,536"
Marshall Islands,"384,680"
Republic of the Congo,"381,180"
Dominica,"379,352"
Tuvalu,"361,466"
Togo,"346,115"
Guinea-Bissau,"340,986"
Antigua and Barbuda,"318,581"
São Tomé and Príncipe,"296,842"
Federated States of Micronesia,"280,748"
Saint Vincent and the Grenadines,"262,503"
