Country,GBI,Bird,Amphibian,Fish,Mammal,Reptile,Plant,ISOCODE
Brazil,512.34,1816,1141,4738,693,847,34387,BRA
Indonesia,418.78,1723,383,4813,729,773,19232,IDN
Colombia,369.76,1863,812,2105,477,634,24025,COL
China,365.84,1285,540,3476,622,554,31362,CHN
Mexico,342.47,1105,411,2629,533,988,23385,MEX
Australia,337.18,725,245,4992,355,1131,19324,AUS
Peru,330.12,1861,655,1583,490,510,19812,PER
India,301.63,1212,446,2601,440,715,45000,IND
Ecuador,291.58,1629,659,1111,392,492,18466,ECU
USA,280.13,844,326,3081,531,556,15500,USA
Venezuela,273.39,1386,365,1735,376,419,30000,VEN
Papua New Guinea,226.57,743,416,2884,282,384,13634,PNG
Myanmar,221.77,1034,540,1088,304,364,16000,MMR
Vietnam,216.97,835,263,2423,313,512,8500,VNM
Malaysia,214.71,721,278,1951,348,502,14060,MYS
DRC,214.43,1110,227,1528,465,313,8860,COD
Tanzania,213.10,1074,207,1773,412,346,10100,TZA
Bolivia,209.55,1435,259,407,382,315,14729,BOL
South Africa,207.94,762,132,2094,331,421,21250,ZAF
Thailand,200.77,936,153,2150,314,468,6600,THA
Argentina,198.74,1001,174,1-26,390,462,10221,ARG
Philippines,186.82,594,116,3369,221,365,10107,PHL
Kenya,179.72,1057,115,1060,424,272,6506,KEN
Cameroon,172.41,888,226,1064,351,288,6883,CMR
Panama,170.54,885,228,1428,252,279,10462,PAN
Madagascar,162.29,248,377,1197,257,444,12000,MDG
Angola,160.67,920,106,968,331,310,6735,AGO
Costa Rica,158.43,843,212,1124,240,262,11000,CRI
Japan,153.58,447,95,4098,164,97,5565,JPN
Guinea,153.43,635,80,807,241,648,4000,GIN
Mozambique,144.30,675,90,1780,265,225,5692,MOZ
Guatemala,137.94,699,165,905,219,225,8681,GTM
Uganda,136.65,998,62,271,362,284,4932,UGA
Honduras,135.95,711,149,1032,209,174,7188,HND
Nigeria,135.87,864,119,775,294,282,3378,NGA
Guyana,131.65,793,135,996,236,207,6500,GUY
Russia,129.13,660,31,966,333,175,12500,RUS
Ethiopia,128.21,821,78,173,311,88,6603,ETH
Sudan,124.29,917,13,485,255,244,3137,SDN
Congo,122.96,614,76,835,232,279,2403,COG
Nicaragua,118.18,685,75,1076,200,354,5796,NIC
Suriname,117.91,696,114,1046,207,197,5100,SUR
Laos,114.60,700,107,572,215,156,6200,LAO
Ghana,114.56,681,90,696,262,200,2971,GHA
Zambia,113.74,734,88,412,268,180,3309,ZMB
Namibia,111.11,599,45,663,223,190,4334,NAM
CAR,107.15,720,58,200,248,281,5000,CAF
Iran,106.71,474,22,678,211,205,7500,IRN
Somalia,104.49,571,35,845,194,293,4625,SOM
Pakistan,104.35,612,23,724,213,232,4950,PAK
Gabon,104.02,604,97,804,202,210,5236,GAB
Nepal,102.56,822,58,203,190,132,6973,NPL
Paraguay,102.33,690,80,266,181,148,7851,PRY
Ivory Coast,99.25,671,85,676,265,189,3689,CIV
Cambodia,99.09,515,54,934,170,6,5000,KHM
Canada,97.59,496,46,1099,254,197,3893,CAN
Sri Lanka,96.92,376,121,1126,124,50,3314,LKA
Malawi,95.22,634,77,474,211,246,3340,MWI
Zimbabwe,94.12,628,57,144,216,126,4440,ZWE
Turkey,92.15,393,37,835,171,186,10001,TUR
Senegal,90.11,558,40,787,196,124,2086,SEN
Togo,87.35,573,35,566,173,158,3085,TGO
Bangladesh,87.33,604,43,578,132,144,6000,BGD
Benin,85.08,551,41,598,175,134,2807,BEN
Liberia,85.00,536,60,612,192,107,2000,LBR
Chile,84.76,434,58,775,151,143,5155,CHL
Beliza,83.54,531,37,650,148,140,4192,BLZ
Gambia,80.25,462,28,580,122,88,11600,GMB
Rwanda,80.08,636,42,77,221,80,2288,RWA
El Salvador,78.55,495,30,588,156,135,2911,SLV
Brunei,77.39,415,12,500,135,42,15000,BRN
Cuba,76.44,294,71,1103,59,167,6522,CUB
Equatorial Guinea,75.06,434,51,569,181,75,3049,GNQ
Spain,74.49,383,39,804,141,75,5800,ESP
Botswana,72.77,535,36,84,173,160,920,BWA
Burundi,71.43,597,28,245,159,67,2950,BDI
France,70.58,358,43,803,147,51,4700,FRA
Bhutan,69.14,618,40,52,111,91,5603,BTN
Mali,69.12,566,22,140,148,127,1700,MLI
Egypt,67.98,379,10,946,108,110,2250,EGY
Italy,67.71,356,48,621,135,60,5590,ITA
Morocco,67.26,342,13,735,128,106,4200,MAR
Uruguay,66.75,409,50,725,107,79,2911,URY
Mauritania,65.74,472,12,710,109,97,1100,MRT
Chad,65.27,526,20,138,140,113,2288,TCD
Guinea-Bissau,65.06,453,21,676,127,65,1507,GNB
Greece,64.11,347,26,644,119,76,4992,GRC
Trinidad and Tobago,64.05,397,40,988,112,5,2500,TTO
Saudi Arabia,63.32,391,7,860,84,109,2290,SAU
Kazakhstan,63.16,439,15,116,165,52,6000,KAZ
Israel,62.66,388,10,701,111,93,2380,ISR
Eritrea,62.51,544,17,363,65,97,4850,ERI
S. Korea,62.32,361,20,1111,76,37,3632,KOR
Oman,62.07,324,2,1048,88,109,1239,OMN
Afghanistan,60.93,392,11,125,139,114,5000,AFG
Singapore,60.43,367,29,720,64,132,2282,SGP
Solomon Islands,57.63,245,19,983,68,82,4500,SLB
Yemen,57.59,344,6,751,94,114,400,YEM
Algeria,57.36,319,16,474,111,108,3139,DZA
Burkina Faso,57.04,452,23,122,133,80,2067,BFA
Niger,55.12,438,11,107,140,105,8,NER
Iraq,53.75,375,8,319,83,117,3300,IRQ
Syria,53.68,348,7,398,95,102,3000,SYR
Georgia,53.17,295,12,133,103,153,4100,GEO
Haiti,52.54,255,57,527,35,123,5242,HTI
Dominican Republic,52.39,245,50,530,42,116,5657,DOM
New Zealand,52.13,231,8,1111,44,82,2400,NZL
Jordan,52.12,332,5,557,80,115,1072,JOR
Portugal,51.23,311,23,557,99,42,2800,PRT
Hong Kong,50.79,219,22,1096,31,69,3300,HKG
Croatia,49.87,307,18,420,100,39,4288,HRV
Eswatini,49.23,464,38,57,107,1,3500,SWZ
Mongolia,49.16,361,6,81,150,33,2850,MNG
Ukraine,49.00,318,22,239,113,26,5100,UKR
Azerbaijan,48.36,348,10,85,108,65,4500,AZE
Timor-Leste,47.52,236,6,1089,46,29,2500,TLS
Bulgaria,46.92,336,20,221,100,40,3750,BGR
Tunisia,45.94,310,8,364,86,73,2100,TUN
Puerto Rico,45.10,262,26,802,12,77,2912,PRI
Uzbekistan,44.94,353,3,86,90,60,4374,UZB
Romania,44.31,322,20,207,100,26,3515,ROU
Albania,44.09,299,17,419,80,41,2450,ALB
Germany,43.73,312,21,245,109,16,2660,DEU
Palau,43.24,114,1,1552,20,34,130,PLW
Montenegro,43.07,311,17,329,87,30,2550,MNE
Bahamas,42.53,244,5,886,38,46,1350,BHS
Serbia,42.18,312,22,93,98,27,4000,SRB
Fiji,41.85,108,3,1304,24,43,1769,FJI
DPRK,41.55,323,17,304,86,7,2898,PRK
UAE,41.20,294,2,517,52,74,830,ARE
Kyrgyzstan,41.01,329,4,31,80,55,4500,KGZ
Slovenia,40.60,290,19,397,93,23,430,SVN
Libya,40.47,267,3,283,81,68,2118,LBY
Armenia,40.32,297,7,54,93,53,3600,ARM
Lebanon,40.06,296,6,326,61,56,2612,LBN
Jamaica,39.95,184,25,634,44,49,3308,JAM
Djibouti,39.52,290,5,397,85,35,554,DJI
Tajikistan,39.28,327,5,4,72,54,4513,TJK
Micronesia,39.11,128,3,1238,22,41,364,FSM
Bosnia and Herzegovina,38.30,281,17,338,88,2,1859,BIH
Austria,37.70,302,20,93,92,17,2580,AUT
UK,37.67,267,15,422,81,5,1390,GBR
Poland,37.02,291,18,144,92,11,2300,POL
Switzerland,36.52,285,20,88,90,18,2590,CHE
Norway,36.45,255,6,292,84,9,2800,NOR
North Macedonia,35.71,321,13,56,83,2,3200,MKD
Sweden,35.42,278,12,247,80,7,2000,SWE
Hungary,34.99,286,17,83,86,16,2250,HUN
Kuwait,34.39,293,1,526,31,39,234,KWT
Netherlands,34.30,271,17,211,75,18,1481,NLD
Slovakia,34.23,294,18,92,93,14,713,SVK
Czechia,34.03,287,21,80,80,13,2100,CZE
Denmark,33.07,275,15,221,71,6,1583,DNK
Moldova,33.03,236,13,62,63,15,5513,MDA
Mauritius,32.95,78,2,1106,19,32,685,MUS
Tonga,32.51,51,2,1143,20,30,1020,TON
Maldives,32.31,84,19,1124,24,11,583,NDV
Belgium,32.16,264,8,194,70,10,1340,BEL
Guam,32.01,107,7,1009,15,22,931,GUM
US Virgin Islands,30.53,150,3,569,39,37,1272,VIR
Ireland,30.33,209,6,399,53,19,1309,IRL
Finland,29.72,264,14,102,77,6,1300,FIN
Belarus,29.52,263,12,58,73,7,1638,BLR
Latvia,29.52,268,12,114,64,7,1648,LVA
Cayman Islands,29.03,201,4,473,9,22,3602,CYM
Vanuatu,28.59,87,1,847,27,38,150,VUT
Cyprus,28.35,276,4,279,32,32,256,CYP
Saint Lucia,28.20,205,4,494,24,20,1300,LCA
Curaçao,28.14,159,3,617,40,8,541,CUW
Dominica,28.07,181,4,500,33,19,1226,DMA
Qatar,28.05,234,2,505,18,25,355,QAT
Lithuania,27.95,243,13,98,65,8,1498,LTU
Estonia,27.88,254,12,72,65,6,1583,EST
Lesotho,27.68,249,18,12,62,19,1591,LSO
Samoa,27.38,46,1,966,20,22,541,WSM
Aruba,27.16,153,3,573,38,15,460,ABW
Marshall Islands,26.52,61,1,959,17,9,563,MHL
Barbados,26.50,186,2,527,29,11,572,BRB
Turks and Caicos,26.17,240,2,379,36,6,32,TCA
Bahrain,26.01,222,1,515,16,11,357,BHR
Palestine,25.96,263,8,1,49,4,2780,PSE
Grenada,25.53,114,5,496,34,33,1000,GRD
Antigua and Barbuda,25.40,177,3,501,26,4,1158,ATG
St. Vincent and the Grenadines,25.35,170,5,484,29,5,1150,VCT
Saint Kitts and Nevis,24.79,194,3,460,24,3,926,KNA
Comoros,23.29,101,1,563,31,9,1000,COM
Malta,22.97,205,2,321,22,10,1000,MLT
Bermuda,22.62,127,1,467,24,10,1500,BMU
Cabo Verde,21.40,86,1,629,26,2,240,CPV
Liechtenstein,20.68,176,9,14,52,8,1600,LIE
Luxembourg,20.18,187,16,14,54,7,295,LUX
Macao,17.20,40,5,148,83,3,0,MAC
São Tomé and Principe,17.14,90,9,353,12,17,895,STP
Andorra,16.59,126,2,7,46,10,1595,AND
Kiribati,16.45,39,4,535,19,3,290,KIR
Iceland,15.93,109,0,299,24,1,490,ISL
Monaco,12.37,24,2,287,32,3,347,MCO
Sint Maarten,9.86,141,2,4,8,2,522,SXM
Tuvalu,7.05,18,0,196,8,6,362,TUV
Nauru,6.43,20,0,86,14,10,573,NRU
San Marino,5.47,18,1,0,24,1,714,SMR
